,x_emb,y_emb,t,name,house,good_bad,degree,main,id
213,1.1568263,-1.1704705,4,Albus Dumbledore,g,bad,18,1,9
214,0.8118373,-1.856099,4,Dudley Dursley,m,good,2,0,10
215,0.60917526,-1.4473146,4,Petunia Dursley,m,good,4,0,11
216,1.0801758,-1.2700838,4,Vernon Dursley,m,good,3,0,12
217,0.18164136,-2.1808097,4,Argus Filch,n,good,10,0,13
218,1.992325,-1.1217427,4,Cornelius Fudge,n,good,3,0,14
219,0.9955575,-1.3509514,4,Gregory Goyle,s,good,3,0,15
220,0.31193125,-1.5203056,4,Hermione Granger,g,bad,19,1,16
221,0.12524736,-2.2253773,4,Rubeus Hagrid,g,bad,3,0,17
222,-0.22593005,-2.4664352,4,Igor Karkaroff,n,bad,1,0,18
223,2.8988776,-1.5800606,4,Bellatrix Lestrange,s,good,11,0,19
224,-0.074476816,-2.3880765,4,Frank Longbottom,g,bad,1,0,20
225,0.91166615,-1.7572088,4,Neville Longbottom,g,bad,2,0,21
226,0.105934,-2.2700613,4,Remus Lupin,g,bad,2,0,22
227,1.7546295,-1.3860801,4,Draco Malfoy,s,good,7,0,23
228,3.1207874,-1.4622405,4,Lucius Malfoy,s,good,7,0,24
229,1.3083379,-1.9566858,4,Narcissa Malfoy,s,good,1,0,25
230,-0.73635614,-2.3859365,4,Minerva McGonagall,g,bad,6,0,26
231,-2.196074,-3.200078,4,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
232,0.47499406,-2.2570179,4,Peter Pettigrew,g,good,19,1,28
233,0.8214647,-1.3966652,4,Harry Potter,g,bad,22,1,29
234,0.38338298,-2.3847578,4,James Potter,g,bad,7,0,30
235,0.1508349,-2.2990887,4,Lily Potter,g,bad,5,0,31
236,0.28361252,-1.4386209,4,Quirinus Quirrell,r,good,11,0,32
237,-0.50060034,-2.6400888,4,Tom Riddle Sr.,m,bad,5,0,33
238,-0.022628667,-2.305462,4,Mary Riddle,m,bad,1,0,34
239,-0.48497188,-2.9016588,4,Lord Voldemort,s,good,37,1,35
240,0.97518843,-1.1893424,4,Rita Skeeter,n,good,5,0,36
241,-0.6780135,-2.6594462,4,Severus Snape,s,bad,4,0,37
242,1.5113761,-1.845344,4,Nymphadora Tonks,h,bad,2,0,38
243,0.53415203,-1.3988498,4,Dolores Janes Umbridge,n,good,12,0,39
244,2.9803576,-1.2433358,4,Arthur Weasley,g,bad,2,0,40
245,-0.23418067,-2.5579433,4,Bill Weasley,g,bad,1,0,41
246,-0.31974804,-2.4716291,4,Charlie Weasley,g,bad,1,0,42
247,0.031104978,-2.3442705,4,Fred Weasley,g,bad,3,0,43
248,0.08634825,-2.329413,4,George Weasley,g,bad,3,0,44
249,0.0242575,-2.4613616,4,Ginny Weasley,g,bad,2,0,45
250,2.1670299,-1.6233909,4,Molly Weasley,g,bad,3,0,46
251,1.640253,-1.2491814,4,Ron Weasley,g,bad,14,0,47
252,3.4901972,-1.2976214,4,Dobby,n,bad,5,0,48
253,1.235105,-1.2253091,4,Fluffy,n,good,4,0,49
254,1.2407715,-1.2586821,4,Aragog,n,good,4,0,50
255,1.722518,-2.0689638,5,Regulus Arcturus Black,s,bad,4,0,0
256,1.7914475,-2.1921701,5,Sirius Black,g,bad,12,0,1
257,0.21988069,-1.5615948,5,Lavender Brown,g,good,1,0,2
258,-0.41911975,-2.6801677,5,Cho Chang,r,bad,1,0,3
259,0.8295986,-1.2504733,5,Vincent Crabbe,s,good,3,0,4
260,-2.6507733,-3.329456,5,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
