,x_emb,y_emb,t,tau,id
287,-0.4445143570470836,0.2910605992300776,1,0,137
288,-0.46985012551107974,0.3812561844691209,1,0,138
289,-0.7319559770195709,-0.21321049379721962,1,2,139
290,-0.754386486161845,-0.24886814917564354,1,2,140
291,-0.7026087660529352,-0.32662385731299765,1,2,141
292,-0.4445609614060893,0.4100515486733304,1,0,142
293,-0.41182180336182495,0.3683483163899364,1,0,143
294,-0.592829746863912,0.07292723909996253,1,2,144
295,-0.5748286405129192,0.16574982150205692,1,1,145
296,-0.6121768554797234,0.08449318855776962,1,1,146
297,-0.6894559548473163,-0.2206591628432057,1,2,147
298,-0.5576126740100795,0.04028276703811742,1,1,148
299,-0.6895542520930871,0.04279971669968125,1,2,149
300,-0.5820383566220381,-0.20286480599578385,2,2,0
301,-0.5381730119777569,-0.11940772692471423,2,1,1
302,-0.6425623679836061,-0.21992236838403204,2,2,2
303,-0.6078550173483367,0.07721373183835889,2,2,3
304,-0.5944467293843556,-0.0013001625189606662,2,2,4
305,-0.388857265490087,0.3451015889034444,2,0,5
306,-0.42429137887928586,0.3752327100685301,2,0,6
307,-0.48758897629305237,-0.10373510730576109,2,1,7
308,-0.5582732689441202,-0.17542862797485104,2,2,8
309,-0.5445165320050923,-0.09393035333230444,2,1,9
310,-0.44908016830913483,-0.09827771678167181,2,1,10
311,-0.40665565453261626,0.27412182796437695,2,0,11
312,-0.5278981362540459,-0.0685085994539961,2,2,12
313,-0.3644634066709297,0.3676513255621495,2,0,13
314,-0.5858831069413261,-0.4716933243205699,2,2,14
315,-0.49435874748697356,0.41036956623906945,2,0,15
316,-0.43987905952877476,0.2810399112059864,2,0,16
317,-0.6210665432359017,-0.21535069013692063,2,2,17
318,-0.3460321884495799,0.15687403383293463,2,0,18
319,-0.4915462931263422,-0.06690652960826575,2,1,19
320,-0.48683546237458336,-0.009423679695771632,2,1,20
321,-0.37257808857035435,0.4187892663530225,2,0,21
322,-0.5260381988794764,-0.10827484561520755,2,1,22
323,-0.598862378403884,-0.2531388878520397,2,2,23
324,-0.3451293028042858,0.2712325231829125,2,0,24
325,-0.5026407709056507,-0.15301040081076261,2,1,25
326,-0.43774130829582947,0.34015067994090575,2,0,26
327,-0.6322256592693469,-0.12094973932977772,2,2,27
328,-0.5548209129048514,-0.05523969131116641,2,2,28
329,-0.6184819562072386,-0.18285435189741445,2,2,29
330,-0.5642713726229152,-0.18976688691409463,2,2,30
331,-0.3668625008448394,0.34466985983961157,2,0,31
332,-0.6148032710043213,-0.1646185295569845,2,1,32
333,-0.5633183945009779,0.07624114728721913,2,1,33
334,-0.3903610587094394,0.3385217053035486,2,0,34
335,-0.6015518191725026,-0.07876091296578273,2,2,35
336,-0.5753620696462376,-0.13126123936722142,2,2,36
337,-0.4560535083053276,-0.16745370221188569,2,1,37
338,-0.6318962072226233,-0.0018676490260234042,2,2,38
339,-0.41180614430721035,0.46443423850273274,2,0,39
340,-0.46916754797847404,-0.12993037938006943,2,1,40
341,-0.46191281219688773,-0.12529110402019614,2,1,41
342,-0.38653465193313125,0.21339226547128015,2,0,42
343,-0.6417596449511881,-0.09640547414751253,2,2,43
344,-0.652467258824959,-0.2333797922251176,2,2,44
345,-0.49699715479623496,-0.20994961356080882,2,1,45
346,-0.5755751284354981,-0.32640590086237203,2,2,46
347,-0.5641836190613397,-0.1515583400553297,2,2,47
348,-0.56533906125804,-0.013060423039337759,2,2,48
349,-0.3492756631551676,0.26258688290469234,2,0,49
350,-0.5801510041415266,-0.10144038044355418,2,2,50
351,-0.4108025785240449,0.4274447919829895,2,0,51
352,-0.44837721220812826,0.38071541917106794,2,0,52
353,-0.5239758967084841,0.5035162959863656,2,0,53
354,-0.6302033075118336,0.02457709495123894,2,2,54
355,-0.5313275806553031,-0.08662341218818131,2,1,55
356,-0.6536364605185965,-0.11617992959072096,2,2,56
357,-0.5481355659846135,0.18477765466783241,2,1,57
358,-0.5898322528485496,-0.17596875552395824,2,2,58
