,x_emb,y_emb,t,name,house,good_bad,degree,main,id
256,-0.83262825,-1.6624789,5,Sirius Black,g,bad,146,0,1
257,-0.3293435,-0.7826433,5,Lavender Brown,g,good,19,0,2
258,-0.7728573,-1.5903133,5,Cho Chang,r,bad,37,0,3
259,0.01444221,-0.5541268,5,Vincent Crabbe,s,good,55,0,4
260,-0.69292027,-1.4074616,5,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
261,0.019587632,-0.6616069,5,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
262,-0.6049185,-1.5436114,5,Fleur Delacour,n,bad,11,0,7
263,-0.65028024,-1.6519688,5,Cedric Diggory,h,bad,37,0,8
264,-0.8808528,-1.9544132,5,Albus Dumbledore,g,bad,180,0,9
265,0.032877922,-0.76605016,5,Dudley Dursley,m,good,25,0,10
266,-0.031143017,-0.73766834,5,Petunia Dursley,m,good,63,0,11
267,-0.21791169,-0.57050186,5,Vernon Dursley,m,good,58,0,12
268,-0.017951772,-0.8068354,5,Argus Filch,n,good,108,0,13
269,0.005668041,-0.84521663,5,Cornelius Fudge,n,good,42,0,14
270,-0.15834263,-0.68044937,5,Gregory Goyle,s,good,55,0,15
271,-1.0430028,-1.8957713,5,Hermione Granger,g,bad,196,1,16
272,-0.6944587,-1.722757,5,Rubeus Hagrid,g,bad,49,0,17
273,-0.6950269,-1.4793613,5,Igor Karkaroff,n,bad,37,0,18
274,-0.18858968,-0.60285914,5,Bellatrix Lestrange,s,good,98,0,19
275,-0.6334285,-1.5880959,5,Frank Longbottom,g,bad,37,0,20
276,-0.5880206,-1.728953,5,Neville Longbottom,g,bad,44,0,21
277,-0.83903575,-1.6802608,5,Remus Lupin,g,bad,56,0,22
278,0.06644666,-0.6183212,5,Draco Malfoy,s,good,95,0,23
279,-0.06925751,-0.9140464,5,Lucius Malfoy,s,good,63,0,24
280,-0.4059186,-0.88713735,5,Narcissa Malfoy,s,good,12,0,25
281,-0.75334245,-1.9019502,5,Minerva McGonagall,g,bad,142,0,26
282,-0.7847389,-1.726373,5,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
283,0.13359126,-0.7361989,5,Peter Pettigrew,g,good,189,0,28
284,-0.8387804,-1.7346002,5,Harry Potter,g,bad,201,1,29
285,-0.655881,-1.7984304,5,James Potter,g,bad,160,0,30
286,-0.7262782,-1.7224666,5,Lily Potter,g,bad,116,0,31
287,-0.17730232,-0.8858138,5,Quirinus Quirrell,r,good,248,1,32
288,-0.7551744,-1.6563064,5,Tom Riddle Sr.,m,bad,121,0,33
289,-0.7900816,-1.5298297,5,Mary Riddle,m,bad,37,0,34
290,-0.0042841285,-0.64929163,5,Lord Voldemort,s,good,213,1,35
291,-0.0049021617,-0.60042,5,Rita Skeeter,n,good,98,0,36
292,-0.84323454,-1.6313142,5,Severus Snape,s,bad,95,0,37
293,-0.803918,-1.5189948,5,Nymphadora Tonks,h,bad,48,0,38
294,0.2755876,-0.5052284,5,Dolores Janes Umbridge,n,good,212,1,39
295,-0.69617856,-1.400441,5,Arthur Weasley,g,bad,10,0,40
296,-0.7572945,-1.7085607,5,Bill Weasley,g,bad,37,0,41
297,-0.8314217,-1.6234268,5,Charlie Weasley,g,bad,37,0,42
298,-0.6400153,-1.742107,5,Fred Weasley,g,bad,66,0,43
299,-0.79169714,-1.4739994,5,George Weasley,g,bad,66,0,44
300,-0.90245384,-1.5708466,5,Ginny Weasley,g,bad,56,0,45
301,-0.8481349,-1.743604,5,Molly Weasley,g,bad,55,0,46
302,-0.93542695,-1.7919066,5,Ron Weasley,g,bad,132,0,47
303,-0.89265114,-1.764298,5,Dobby,n,bad,43,0,48
304,-0.1953425,-0.7286845,5,Fluffy,n,good,69,0,49
305,-0.15998209,-0.6204581,5,Aragog,n,good,69,0,50
306,-0.6522458,-1.4605806,6,Regulus Arcturus Black,s,bad,72,0,0
307,-1.0089635,-1.9234238,6,Sirius Black,g,bad,146,0,1
308,-0.22040276,-0.65566415,6,Lavender Brown,g,good,19,0,2
309,-0.86286503,-1.748281,6,Cho Chang,r,bad,37,0,3
310,0.21460383,-0.3107481,6,Vincent Crabbe,s,good,55,0,4
311,-0.80904406,-1.5858147,6,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
312,0.10923455,-0.5954418,6,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
313,-0.7264448,-1.7325184,6,Fleur Delacour,n,bad,11,0,7
314,-0.76966476,-1.8353834,6,Cedric Diggory,h,bad,37,0,8
315,-1.0618048,-2.239438,6,Albus Dumbledore,g,bad,180,0,9
316,0.13867225,-0.63922304,6,Dudley Dursley,m,good,25,0,10
317,0.1261839,-0.5587438,6,Petunia Dursley,m,good,63,0,11
318,-0.023745326,-0.3553048,6,Vernon Dursley,m,good,58,0,12
319,0.0871622,-0.70516425,6,Argus Filch,n,good,108,0,13
320,0.13612156,-0.6913651,6,Cornelius Fudge,n,good,42,0,14
